# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	4346
#@/user_id	59ea4f9f-a96e-4312-a182-97f9f0abbd26
a 	啊	c=30 d=0.695769 t=4346
wa kuang 	挖矿	c=8 d=2.52828 t=4166
wan 	完	c=5 d=0.469235 t=4346
wan 	玩	c=53 d=8.98415 t=4346
wan cheng shi 	完成时	c=1 d=1 t=3281
wan guo 	玩过	c=1 d=1 t=3348
wan quan 	完全	c=5 d=0.779403 t=4346
wan yi 	玩意	c=1 d=1 t=2897
wan zheng 	完整	c=1 d=1 t=4300
wan zi 	丸子	c=1 d=1 t=2977
wang 	往	c=2 d=1.16696 t=3393
wang 	网	c=2 d=1.97045 t=1979
wang ba 	网吧	c=1 d=1 t=3892
wang dao 	王道	c=2 d=0.205081 t=4346
wang jin ze 	王进泽	c=1 d=1 t=4233
wang le 	忘了	c=2 d=1.00018 t=3950
wang luo 	网络	c=2 d=1.0739 t=2591
wang luo bao li 	网络暴力	c=1 d=1 t=3599
wang su 	网速	c=1 d=1 t=3900
wang xian 	网线	c=1 d=1 t=2888
wang xuan 	王选	c=1 d=1 t=4075
wang ye 	网页	c=2 d=1.00009 t=4154
wang yi 	网易	c=1 d=1 t=1857
wang zhan 	网站	c=2 d=1.02774 t=3676
wang zhe rong yao 	王者荣耀	c=1 d=0.440432 t=4346
wei 	为	c=3 d=0.0731678 t=4346
wei 	位	c=3 d=0.136014 t=4346
wei bo 	微博	c=5 d=2.95654 t=4092
wei lai 	未来	c=1 d=1 t=832
wei le 	为了	c=1 d=1 t=2478
wei lu si 	韦鲁斯	c=1 d=1 t=3144
wei ruan 	微软	c=4 d=1.00756 t=3314
wei shen me 	为什么	c=13 d=1.60128 t=4346
wei xin 	微信	c=2 d=1.76338 t=1021
wei yi 	位移	c=1 d=1 t=2797
wei yi 	唯一	c=1 d=0.286505 t=4346
wen 	文	c=1 d=1 t=733
wen jian 	文件	c=3 d=1.00094 t=2286
wen ti 	问题	c=2 d=1.00001 t=3515
wen ti bu da 	问题不大	c=3 d=0.800498 t=4346
wen xi 	文戏	c=1 d=1 t=1135
wen zi 	文字	c=1 d=1 t=3947
wo 	我	c=98 d=7.53103 t=4346
wo 	窝	c=1 d=1 t=1586
wo de 	我的	c=0 d=0.00992612 t=4346
wo de ni 	我的你	c=1 d=0.0997588 t=4346
wo de shi jie 	我的世界	c=1 d=1 t=4082
wo di 	沃蒂	c=1 d=1 t=1237
wo men 	我们	c=4 d=1.00105 t=3602
wu 	无	c=2 d=1.00001 t=2956
wu ceng 	五层	c=1 d=1 t=3820
wu di 	无敌	c=1 d=0.287941 t=4346
wu di er 	乌迪尔	c=4 d=3.70558 t=2631
wu fen zhong 	五分钟	c=1 d=1 t=3647
wu liao 	无聊	c=1 d=1 t=3225
wu lu mu qi 	乌鲁木齐	c=1 d=1 t=939
wu sha 	五杀	c=1 d=1 t=604
wu shi 	巫师	c=3 d=2.97516 t=4279
wu suo wei 	无所谓	c=5 d=1.05564 t=2855
wu xian 	无限	c=0 d=0.1 t=3948
wu xian huo li 	无限活力	c=1 d=1 t=3949
wu ya 	乌鸦	c=1 d=1 t=674
wu zhi zhuan sheng 	无职转生	c=30 d=1.61634 t=4284
xi guan 	习惯	c=1 d=1 t=2837
xi huan 	喜欢	c=15 d=1.43573 t=3921
xi lie 	系列	c=1 d=1 t=1221
xi nao 	洗脑	c=1 d=1 t=2558
xi tong 	系统	c=1 d=1 t=2462
xia 	下	c=23 d=4.11229 t=4346
xia 	侠	c=1 d=1 t=3793
xia 	瞎	c=1 d=0.704688 t=4346
xia 	虾	c=1 d=1 t=3922
xia 	霞	c=1 d=0.238115 t=4346
xia jia 	下架	c=3 d=2.89786 t=3364
xia le 	下了	c=1 d=1 t=2384
xia lu 	下路	c=1 d=1 t=1474
xia qu 	下去	c=1 d=1 t=3438
xia ri 	夏日	c=1 d=1 t=4061
xia shui dao 	下水道	c=1 d=1 t=2772
xia yi bo 	下一波	c=1 d=1 t=1360
xia yi tai 	下一台	c=2 d=1.00002 t=3339
xia zai 	下载	c=5 d=0.683868 t=4346
xia zi 	瞎子	c=2 d=1 t=3501
xian 	先	c=4 d=2.13598 t=3127
xian 	线	c=4 d=0.327492 t=4346
xian cun 	显存	c=1 d=1 t=3857
xian feng 	先锋	c=1 d=1 t=1399
xian mian 	限免	c=1 d=1 t=2996
xian shi 	显示	c=2 d=1.11192 t=2439
xian xie 	先写	c=1 d=1 t=2112
xian zai 	现在	c=9 d=1.05792 t=3970
xian zhi 	限制	c=1 d=1 t=1264
xiang 	像	c=1 d=1 t=745
xiang 	想	c=10 d=0.971566 t=4346
xiang 	香	c=2 d=0.571209 t=4346
xiang ban 	相伴	c=0 d=0.1 t=554
xiang bu dao 	想不到	c=1 d=1 t=1211
xiang ce 	相册	c=2 d=1.99501 t=4117
xiang ge 	像个	c=1 d=0.235746 t=4346
xiang jian 	详见	c=2 d=1.98511 t=1494
xiang mu 	项目	c=1 d=1 t=3675
xiao 	小	c=10 d=0.717819 t=4346
xiao 	笑	c=3 d=0.151072 t=4346
xiao bai 	小白	c=1 d=1 t=1327
xiao bai ce ping 	小白测评	c=1 d=1 t=2269
xiao bing 	小兵	c=2 d=1.03206 t=1246
xiao gou 	小狗	c=1 d=0.115903 t=4346
xiao hai 	小孩	c=1 d=1 t=2514
xiao hao 	消耗	c=1 d=1 t=1956
xiao jia yu 	小甲鱼	c=1 d=1 t=892
xiao long 	小龙	c=1 d=1 t=2264
xiao long 	骁龙	c=4 d=2.23932 t=2687
xiao mi 	小米	c=2 d=1.03337 t=1627
xiao pao 	小炮	c=1 d=1 t=1926
xiao shun 	孝顺	c=1 d=1 t=2058
xie 	写	c=1 d=1 t=4196
xie xie 	谢谢	c=1 d=1 t=2410
xie yi 	协议	c=1 d=1 t=3760
xie zai 	卸载	c=1 d=1 t=2566
xie zi 	鞋子	c=1 d=1 t=3611
xin bing lian 	新兵连	c=1 d=1 t=1495
xin gai nian 	新概念	c=8 d=7.73807 t=1878
xin jia po 	新加坡	c=1 d=1 t=3742
xin jiang 	新疆	c=2 d=1 t=3750
xin qing 	心情	c=1 d=1 t=1447
xin xi 	信息	c=1 d=1 t=1999
xing 	行	c=7 d=0.190528 t=4346
xiong 	雄	c=1 d=1 t=1496
xiu 	秀	c=3 d=0.103312 t=4346
xiu fu 	修复	c=2 d=1.00071 t=2570
xu fei 	续费	c=2 d=1.05843 t=4210
xu ni 	虚拟	c=1 d=1 t=2438
xu ni ji 	虚拟机	c=1 d=1 t=2308
xu yao 	需要	c=2 d=1.00016 t=2371
xuan 	选	c=1 d=1 t=2024
xuan ku 	炫酷	c=1 d=1 t=4241
xue 	学	c=0 d=0.1 t=554
xue 	血	c=2 d=1.4607 t=2538
xue cuo 	血错	c=1 d=1 t=4249
xue hui 	学会	c=1 d=0.50409 t=4346
xue ren 	雪人	c=1 d=0.40657 t=4346
xue wei 	学位	c=1 d=1 t=3594
xue xi 	学习	c=2 d=1 t=4339
xue xia 	学下	c=1 d=1 t=2779
xue xiang ban 	学相伴	c=1 d=1 t=555
xue yuan 	学院	c=1 d=1 t=3266
xun lei 	迅雷	c=1 d=0.484325 t=4346
xun lian mo shi 	训练模式	c=1 d=1 t=1747
y t 	雲靝	c=1 d=1 t=3794
ya li 	压力	c=1 d=1 t=1893
ya suo 	压缩	c=2 d=1.21225 t=2974
ya zhu 	压住	c=1 d=1 t=2018
yan 	眼	c=2 d=1.00001 t=3526
yan chi 	延迟	c=1 d=1 t=3777
yan jing 	眼睛	c=1 d=1 t=3184
yan se 	颜色	c=1 d=1 t=1141
yan shi 	演示	c=1 d=1 t=3769
yan zhong 	严重	c=1 d=1 t=779
yang 	养	c=3 d=1.0679 t=3376
yang cheng 	养成	c=1 d=1 t=2835
yang la ji 	洋垃圾	c=1 d=1 t=2259
yao 	要	c=12 d=1.85434 t=4346
yao bu 	要不	c=1 d=1 t=1160
yao qing ma 	邀请码	c=1 d=1 t=2913
yao ye lu ying 	摇曳露营	c=5 d=1.69731 t=4222
ye 	也	c=13 d=0.482766 t=4346
ye 	夜	c=1 d=1 t=3581
ye 	页	c=2 d=1.93239 t=4157
ye ba 	也罢	c=1 d=1 t=3604
ye jian mo shi 	夜间模式	c=1 d=1 t=1205
ye mian 	页面	c=2 d=1.22091 t=4161
ye wu 	业务	c=1 d=1 t=888
ye xiang 	也像	c=1 d=1 t=3939
yi 	一	c=6 d=1.57918 t=2767
yi 	亿	c=1 d=1 t=2921
yi 	以	c=1 d=1 t=2920
yi ban 	一半	c=2 d=0.771052 t=4346
yi ban 	一般	c=4 d=1.62731 t=3734
yi bei 	一倍	c=1 d=1 t=2272
yi bian dao 	一边倒	c=1 d=0.946485 t=4346
yi bo 	一波	c=4 d=1.006 t=3353
yi bu 	一部	c=1 d=1 t=3357
yi dian 	一点	c=6 d=0.377192 t=4346
yi ding yao 	一定要	c=1 d=1 t=2111
yi dong 	移动	c=1 d=1 t=2585
yi du 	一度	c=0 d=0.1 t=3889
yi du dian 	一度电	c=1 d=1 t=3890
yi du gong du 	以毒攻毒	c=2 d=1.96079 t=2372
yi dui 	一堆	c=0 d=0.1 t=3855
yi ge 	一个	c=7 d=2.14828 t=4346
yi ge ren 	一个人	c=1 d=1 t=4119
yi gong 	一共	c=4 d=1.14125 t=3524
yi hang 	一行	c=1 d=1 t=3944
yi huan 	一环	c=1 d=1 t=1681
yi huan yi 	一换一	c=1 d=1 t=1665
yi ji 	一级	c=1 d=1 t=977
yi ji 	以及	c=2 d=1 t=4296
yi jian 	一键	c=1 d=1 t=865
yi kou 	一口	c=1 d=0.412714 t=4346
yi la 	一拉	c=0 d=0.1 t=739
yi la hei 	一拉黑	c=1 d=1 t=740
yi liang 	一辆	c=1 d=1 t=3828
yi miao 	疫苗	c=1 d=1 t=729
yi nei 	以内	c=1 d=0.882497 t=4346
yi nian 	一年	c=3 d=0.187901 t=4346
yi qi 	一起	c=1 d=0.154896 t=4346
yi qian 	以前	c=4 d=1.14025 t=3270
yi qie 	一切	c=1 d=1 t=2748
yi qu 	一区	c=1 d=1 t=3805
yi shi jie 	异世界	c=2 d=0.263158 t=4346
yi si 	意思	c=3 d=1.89323 t=4346
yi tai 	一台	c=0 d=0.1 t=1215
yi tian 	一天	c=3 d=2.8696 t=3887
yi tu 	意图	c=1 d=1 t=1989
yi xia 	一下	c=7 d=1.08406 t=4346
yi yang 	一样	c=6 d=1.23778 t=4318
yi yi 	意义	c=2 d=1.52466 t=4317
yi yu yan 	易语言	c=1 d=1 t=1311
yi yue 	一月	c=1 d=1 t=2997
yi zhang 	一张	c=1 d=1 t=3879
yi zhang zhi 	一张纸	c=1 d=1 t=2870
yi zhi 	一直	c=4 d=0.119433 t=4346
yi zhi 	意志	c=1 d=1 t=691
yi zhi hua 	一枝花	c=1 d=1 t=3688
yi zhu xiao 	已注销	c=1 d=1 t=2681
yin cang 	隐藏	c=1 d=1 t=4235
yin jian 	阴间	c=1 d=1 t=3231
yin wei 	因为	c=5 d=2.07435 t=3368
yin xiang 	音响	c=1 d=1 t=2497
yin xiang 	音箱	c=1 d=1 t=2676
yin ying 	阴影	c=1 d=1 t=1168
ying 	硬	c=2 d=1.04159 t=2146
ying 	赢	c=2 d=0.694197 t=4346
ying gai 	应该	c=3 d=0.75308 t=4346
ying guo 	赢过	c=1 d=1 t=3378
ying hua 	樱花	c=2 d=1.01699 t=3256
ying hua dong man 	樱花动漫	c=1 d=1 t=3522
ying li 	盈利	c=1 d=1 t=3219
ying ling dian 	英灵殿	c=1 d=1 t=4208
ying te er 	英特尔	c=1 d=1 t=930
ying xiang 	影响	c=5 d=1.38144 t=3869
ying xiang 	映像	c=1 d=1 t=2677
ying xiong 	英雄	c=5 d=1.99889 t=3518
ying xiong lian meng 	英雄联盟	c=2 d=0.107528 t=4346
ying yu 	英语	c=3 d=1.99159 t=1995
yong 	用	c=23 d=1.96961 t=3849
yong ai fa dian 	用爱发电	c=1 d=1 t=3090
yong bu liao 	用不了	c=1 d=1 t=1336
yong de zhe 	用得着	c=0 d=0.1 t=2782
yong de zhe ao 	用得着奥	c=1 d=1 t=2783
yong en 	永恩	c=1 d=1 t=2026
yong guan 	用惯	c=1 d=1 t=3587
you 	又	c=2 d=1.00001 t=3961
you 	有	c=33 d=2.0421 t=4346
you bing 	有病	c=1 d=1 t=1958
you de 	有的	c=1 d=1 t=1490
you dian 	有点	c=6 d=1.06744 t=3008
you er yuan 	幼儿园	c=1 d=1 t=747
you hou 	油猴	c=2 d=1.01682 t=1986
you lai 	又来	c=1 d=1 t=1029
you mei you 	有没有	c=1 d=1 t=2697
you qing lian jie 	友情链接	c=1 d=1 t=2463
you xi 	游戏	c=15 d=1.65005 t=4346
you xi ben 	游戏本	c=1 d=1 t=3344
you xiang 	邮箱	c=1 d=1 t=2391
you xiu 	优秀	c=4 d=1.10197 t=4332
you zou 	游走	c=2 d=1.00687 t=1552
yu 	玉	c=1 d=0.57695 t=4346
yu dao 	遇到	c=1 d=1 t=1094
yu fa 	语法	c=2 d=1.00281 t=1860
yu lan ban 	预览版	c=1 d=1 t=2362
yu le 	娱乐	c=1 d=1 t=3701
yu ming 	域名	c=6 d=4.67247 t=4215
yu qi 	预期	c=1 d=1 t=696
yu san jia 	御三家	c=1 d=1 t=1897
yu tai yan 	于台烟	c=1 d=1 t=3046
yu wang 	欲望	c=1 d=1 t=1026
yu yan 	语言	c=1 d=1 t=2848
yu yin 	语音	c=2 d=1.00011 t=2899
yuan 	源	c=4 d=1.68739 t=2809
yuan lai 	原来	c=2 d=0.404542 t=4346
yuan li 	原理	c=1 d=1 t=1854
yuan run 	圆润	c=1 d=1 t=1233
yuan wang 	愿望	c=1 d=1 t=3319
yuan zhi kong 	缘之空	c=1 d=1 t=3584
yue 	月	c=1 d=1 t=781
yue 	越	c=1 d=0.214381 t=4346
yue ding 	约定	c=6 d=1.99153 t=4227
yue du 	阅读	c=1 d=1 t=2312
yue ta 	约塔	c=1 d=0.256661 t=4346
yue yue 	悦悦	c=1 d=0.0884781 t=4346
yun 	云	c=3 d=0.0992612 t=4346
yun tian 	云天	c=3 d=1.00407 t=3906
yun xing 	运行	c=2 d=1.00317 t=3738
za 	咋	c=4 d=1.42402 t=2154
zai 	在	c=25 d=0.913931 t=4346
zai xian 	在线	c=10 d=4.11361 t=3683
zao 	早	c=1 d=1 t=3293
zao wan 	早晚	c=1 d=1 t=1431
ze 	则	c=1 d=0.70822 t=4346
zei 	贼	c=0 d=0.100374 t=3764
zei hao wan 	贼好玩	c=1 d=1 t=2647
zei jian dan 	贼简单	c=2 d=1.97531 t=3770
zen me 	怎么	c=6 d=1.61508 t=3628
zen me ban 	怎么办	c=1 d=0.0812682 t=4346
zen me la 	怎么啦	c=1 d=1 t=3411
zeng 	增	c=1 d=0.0746459 t=4346
zha fang 	炸房	c=2 d=1.7827 t=2646
zha la 	扎拉	c=1 d=1 t=3410
zha le 	炸了	c=1 d=0.415058 t=3440
zha le ba 	炸了吧	c=1 d=1 t=3441
zhan 	站	c=7 d=1.18695 t=4096
zhan de 	站得	c=1 d=1 t=3862
zhan le 	占了	c=0 d=0.1 t=3855
zhan le yi dui 	占了一堆	c=1 d=1 t=3856
zhan yi chu 	栈溢出	c=1 d=1 t=3646
zhan yong 	占用	c=1 d=1 t=3851
zhan zhang 	站长	c=1 d=1 t=894
zhan zheng 	战争	c=1 d=0.106459 t=4346
zhang 	张	c=1 d=1 t=2940
zhang 	涨	c=2 d=1.97045 t=2953
zhang da 	长大	c=1 d=1 t=752
zhang hao 	帐号	c=2 d=1.23693 t=2683
zhang zi shi 	涨姿势	c=1 d=1 t=3903
zhao 	找	c=3 d=1.9785 t=1709
zhao ge 	找个	c=3 d=1.10315 t=1827
zhao pian 	照片	c=1 d=1 t=2386
zhao pin 	招聘	c=1 d=1 t=810
zhe 	这	c=40 d=4.07571 t=4346
zhe bian 	这边	c=1 d=1 t=1896
zhe bo 	这波	c=1 d=1 t=1412
zhe ge 	这个	c=31 d=0.680951 t=4346
zhe ju 	这句	c=1 d=1 t=1563
zhe me 	这么	c=3 d=1.00022 t=3629
zhe mo 	折磨	c=1 d=1 t=662
zhe shi 	这是	c=1 d=1 t=2315
zhe xia 	这下	c=1 d=1 t=1028
zhe yang 	这样	c=3 d=1.17933 t=3861
zhe zhong 	这种	c=1 d=1 t=2493
zhen 	真	c=22 d=0.54203 t=4346
zhen bang 	真棒	c=1 d=1 t=2305
zhen hun jie 	镇魂街	c=1 d=1 t=4309
zheng 	正	c=2 d=1.6157 t=3494
zheng ban 	正版	c=1 d=1 t=4275
zheng chang 	正常	c=2 d=0.337902 t=4346
zheng chang ren 	正常人	c=2 d=1.52205 t=2291
zheng dang fang wei 	正当防卫	c=1 d=1 t=721
zheng hao 	整好	c=1 d=1 t=1049
zheng jing ren 	正经人	c=1 d=1 t=1313
zheng li 	整理	c=1 d=1 t=3663
zheng xiang guan 	正相关	c=1 d=1 t=3789
zheng ze biao da 	正则表达	c=1 d=1 t=2065
zhi 	之	c=1 d=1 t=2397
zhi 	只	c=1 d=1 t=3589
zhi 	直	c=1 d=1 t=809
zhi bu guo 	只不过	c=1 d=1 t=2436
zhi chi 	支持	c=3 d=2.02196 t=3758
zhi dao 	知道	c=1 d=1 t=4201
zhi de 	指的	c=1 d=1 t=3194
zhi ding 	置顶	c=1 d=1 t=2469
zhi fu bao 	支付宝	c=3 d=1.02244 t=4089
zhi hu 	知乎	c=1 d=1 t=3649
zhi jie 	直接	c=8 d=0.216536 t=4346
zhi jie yong 	直接用	c=1 d=1 t=964
zhi ming 	致命	c=0 d=0.1 t=3962
zhi ming jie zou 	致命节奏	c=1 d=1 t=3963
zhi mo lin 	志摩凛	c=1 d=1 t=4059
zhi neng 	只能	c=1 d=1 t=2863
zhi neng 	智能	c=1 d=1 t=3273
zhi shang 	智商	c=1 d=1 t=676
zhi shi 	知识	c=1 d=1 t=2839
zhi wang 	之王	c=1 d=1.08694 t=2636
zhi xian 	直线	c=1 d=1 t=549
zhi xiang xing 	指向性	c=1 d=1 t=2742
zhi ye 	职业	c=1 d=1 t=803
zhi you 	只有	c=2 d=0.292293 t=4346
zhi zun 	至尊	c=1 d=0.38868 t=4346
zhi zuo gong si 	制作公司	c=1 d=1 t=2471
zhong 	中	c=5 d=0.418637 t=4346
zhong dan 	中弹	c=1 d=1 t=2784
zhong guo 	中国	c=2 d=1.00619 t=4334
zhong jie 	终结	c=2 d=1.48432 t=1996
zhong suo zhou zhi 	众所周知	c=1 d=1 t=3334
zhong wen 	中文	c=3 d=1.79867 t=4338
zhong zi 	种子	c=1 d=1 t=1856
zhou shu ren 	周树人	c=1 d=1 t=1871
zhu ce 	注册	c=1 d=1 t=3136
zhu dong quan 	主动权	c=1 d=0.211189 t=4346
zhu hao 	祝好	c=1 d=1 t=3935
zhu shi 	注释	c=1 d=1 t=4232
zhu ti 	主题	c=2 d=1.00012 t=4146
zhu yi 	注意	c=1 d=1 t=1244
zhua 	抓	c=2 d=1.52466 t=2134
zhuan 	转	c=1 d=1 t=824
zhuan huan 	转换	c=4 d=1.08446 t=4278
zhuan le 	赚了	c=1 d=1 t=3838
zhuan men 	专门	c=1 d=1 t=2486
zhuan qian 	赚钱	c=1 d=1 t=1832
zhuan sheng 	转生	c=1 d=1 t=693
zhuan xiang 	专项	c=1 d=1 t=3019
zhuang 	装	c=2 d=1 t=3634
zhuang bei 	装备	c=2 d=0.868003 t=4346
zhui 	追	c=2 d=1.00003 t=3329
zhui bu shang 	追不上	c=1 d=1 t=1307
zhun bei 	准备	c=3 d=1.00045 t=4195
zi 	子	c=1 d=1 t=3984
zi dao 	自导	c=0 d=0.00710054 t=4346
zi dong 	自动	c=3 d=1.00005 t=3134
zi ji 	自己	c=6 d=1.34252 t=3796
zi mu 	字母	c=1 d=1 t=3572
zi shi ying 	自适应	c=1 d=1 t=953
zi wo 	自我	c=2 d=1.64404 t=4243
zi wo gan jue 	自我感觉	c=1 d=1 t=1662
zi wo jie shao 	自我介绍	c=1 d=1 t=4247
zi yong 	自用	c=2 d=1.13003 t=2282
zi yuan guan li qi 	资源管理器	c=1 d=1 t=1123
zi zhi 	自制	c=1 d=1 t=858
zi zhi li 	自制力	c=1 d=1 t=900
zou 	走	c=11 d=0.767206 t=4346
zou cheng xu 	走程序	c=1 d=1 t=3252
zou yi bu 	走一步	c=1 d=1 t=843
zui ba 	嘴巴	c=1 d=1 t=1561
zui chou 	最臭	c=1 d=1 t=3330
zui gao 	最高	c=1 d=1 t=938
zui jin 	最近	c=1 d=1 t=1340
zui kuai 	最快	c=1 d=1 t=1364
zui xiao 	最小	c=1 d=1 t=1031
zui xin 	最新	c=2 d=1.98511 t=2582
zui zao 	最早	c=1 d=1 t=2485
zuo 	作	c=2 d=1.19495 t=3310
zuo 	做	c=1 d=1 t=2479
zuo cheng 	做成	c=1 d=1 t=3745
zuo de 	做的	c=0 d=0.1 t=3317
zuo de ma 	做的吗	c=1 d=1 t=3318
zuo pin 	作品	c=0 d=0.1 t=1963
zuo wen 	作文	c=1 d=1 t=2113
zuo yong 	作用	c=4 d=1.0007 t=3612
zuo zhe 	作者	c=2 d=1.99501 t=3043
